datetime,humidity,lag_1,lag_2,lag_3,rolling_mean_7,rolling_std_7
2012-01-07,57.3,63.0,65.6,71.1,64.05714285714285,7.088924963833174
2012-01-08,76.2,57.3,63.0,65.6,66.57142857142857,7.905001430679671
2012-01-09,52.8,76.2,57.3,63.0,65.91428571428571,8.920468704320527
2012-01-10,51.0,52.8,76.2,57.3,62.42857142857143,9.352845250816152
2012-01-11,49.6,51.0,52.8,76.2,59.357142857142854,9.558566340000493
2012-01-12,53.2,49.6,51.0,52.8,57.58571428571428,9.3556451000503
2012-01-13,59.6,53.2,49.6,51.0,57.10000000000001,9.112811494447435
2012-01-14,68.0,59.6,53.2,49.6,58.62857142857143,10.005617469820685
2012-01-15,71.8,68.0,59.6,53.2,58.0,8.78104018136044
2012-01-16,66.9,71.8,68.0,59.6,60.01428571428572,9.003782274027687
2012-01-17,62.7,66.9,71.8,68.0,61.68571428571429,8.091235705261292
2012-01-18,60.2,62.7,66.9,71.8,63.199999999999996,6.230302293361586
2012-01-19,56.1,60.2,62.7,66.9,63.614285714285714,5.509213062809293
2012-01-20,65.9,56.1,60.2,62.7,64.51428571428572,5.252754379506866
2012-01-21,74.1,65.9,56.1,60.2,65.38571428571429,6.3241411989899365
2012-01-22,66.5,74.1,65.9,56.1,64.62857142857142,5.71626751348415
2012-01-23,69.8,66.5,74.1,65.9,65.04285714285714,6.006068359822183
2012-01-24,65.6,69.8,66.5,74.1,65.45714285714286,5.916884637165389
2012-01-25,72.8,65.6,69.8,66.5,67.25714285714285,5.967371599751759
2012-01-26,68.5,72.8,65.6,69.8,69.02857142857142,3.385121507279726
2012-01-27,67.3,68.5,72.8,65.6,69.22857142857143,3.2060953852073366
2012-01-28,64.6,67.3,68.5,72.8,67.87142857142857,2.7831123379616627
2012-01-29,64.0,64.6,67.3,68.5,67.5142857142857,3.1275275492677457
2012-01-30,81.2,64.0,64.6,67.3,69.14285714285714,6.085462771462604
2012-01-31,63.6,81.2,64.0,64.6,68.85714285714286,6.321881877747373
2012-02-01,65.7,63.6,81.2,64.0,67.84285714285714,6.151112946141589
2012-02-02,76.9,65.7,63.6,81.2,69.04285714285714,7.0538068074048255
2012-02-03,95.4,76.9,65.7,63.6,73.05714285714285,12.09267783176486
2012-02-04,72.6,95.4,76.9,65.7,74.20000000000002,11.524900578023807
2012-02-05,64.3,72.6,95.4,76.9,74.24285714285715,11.48112322363063
2012-02-06,61.0,64.3,72.6,95.4,71.35714285714286,11.96924630638276
2012-02-07,75.3,61.0,64.3,72.6,73.02857142857144,11.51371852555526
2012-02-08,73.8,75.3,61.0,64.3,74.18571428571428,11.052213740759301
2012-02-09,79.6,73.8,75.3,61.0,74.57142857142857,11.20873383954291
2012-02-10,75.7,79.6,73.8,75.3,71.75714285714285,6.656039148236529
2012-02-11,77.8,75.7,79.6,73.8,72.5,7.044619696382962
2012-02-12,69.4,77.8,75.7,79.6,73.22857142857143,6.277131586352245
2012-02-13,71.0,69.4,77.8,75.7,74.65714285714286,3.595301166271128
2012-02-14,71.5,71.0,69.4,77.8,74.11428571428573,3.7649384994660906
2012-02-15,70.3,71.5,71.0,69.4,73.61428571428571,4.036264185039015
2012-02-16,73.8,70.3,71.5,71.0,72.78571428571429,3.086221298734431
2012-02-17,78.8,73.8,70.3,71.5,73.22857142857143,3.729483559294465
2012-02-18,78.9,78.8,73.8,70.3,73.38571428571429,3.969646739710643
2012-02-19,78.1,78.9,78.8,73.8,74.62857142857142,3.874581390599629
2012-02-20,81.4,78.1,78.9,78.8,76.11428571428571,4.2290379408042424
2012-02-21,72.8,81.4,78.1,78.9,76.3,4.015802119958917
2012-02-22,75.0,72.8,81.4,78.1,76.97142857142856,3.1436254472154843
2012-02-23,70.3,75.0,72.8,81.4,76.47142857142856,3.915658431526018
2012-02-24,53.6,70.3,75.0,72.8,72.87142857142858,9.30012800731157
2012-02-25,55.1,53.6,70.3,75.0,69.47142857142858,10.935525331949748
2012-02-26,81.7,55.1,53.6,70.3,69.9857142857143,11.480044798319774
2012-02-27,91.9,81.7,55.1,53.6,71.48571428571428,13.692750949733542
2012-02-28,94.4,91.9,81.7,55.1,74.57142857142857,16.23593897148281
2012-02-29,90.3,94.4,91.9,81.7,76.75714285714285,17.29834839349864
2012-03-01,94.0,90.3,94.4,91.9,80.14285714285714,18.123544276516572
2012-03-02,81.6,94.0,90.3,94.4,84.14285714285714,13.882705925341899
2012-03-03,84.2,81.6,94.0,90.3,88.3,5.655675615403129
2012-03-04,88.9,84.2,81.6,94.0,89.32857142857144,4.853079532871861
2012-03-05,70.8,88.9,84.2,81.6,86.3142857142857,8.310721703804926
2012-03-06,78.5,70.8,88.9,84.2,84.04285714285713,7.894904927199756
2012-03-07,74.4,78.5,70.8,88.9,81.77142857142857,8.079751292730505
2012-03-08,77.1,74.4,78.5,70.8,79.35714285714286,6.098867966777927
2012-03-09,78.0,77.1,74.4,78.5,78.84285714285714,6.029609479575767
2012-03-10,71.7,78.0,77.1,74.4,77.05714285714285,6.029609479575773
2012-03-11,68.5,71.7,78.0,77.1,74.14285714285714,3.908476746277267
2012-03-12,80.2,68.5,71.7,78.0,75.48571428571428,4.174297773849092
2012-03-13,71.2,80.2,68.5,71.7,74.44285714285715,4.207476338953883
2012-03-14,69.1,71.2,80.2,68.5,73.68571428571428,4.668129022577272
2012-03-15,72.4,69.1,71.2,80.2,73.01428571428572,4.426973598079722
2012-03-16,82.3,72.4,69.1,71.2,73.62857142857142,5.4208591833503625
2012-03-17,80.0,82.3,72.4,69.1,74.81428571428572,5.821634527469776
2012-03-18,71.3,80.0,82.3,72.4,75.21428571428571,5.3961185344741
2012-03-19,79.7,71.3,80.0,82.3,75.14285714285714,5.3219223164996325
2012-03-20,74.9,79.7,71.3,80.0,75.67142857142856,5.041400032303918
2012-03-21,75.4,74.9,79.7,71.3,76.57142857142857,4.157609203101455
2012-03-22,77.0,75.4,74.9,79.7,77.22857142857143,3.7299304219221794
2012-03-23,56.5,77.0,75.4,74.9,73.54285714285716,8.086378905883867
2012-03-24,55.1,56.5,77.0,75.4,69.9857142857143,10.018387856241898
2012-03-25,75.2,55.1,56.5,77.0,70.54285714285714,10.210265609156487
2012-03-26,70.6,75.2,55.1,56.5,69.24285714285715,9.396959994746016
2012-03-27,85.9,70.6,75.2,55.1,70.81428571428572,11.239725466906584
2012-03-28,88.5,85.9,70.6,75.2,72.68571428571428,13.071779854764554
2012-03-29,76.1,88.5,85.9,70.6,72.55714285714285,13.026621094622234
2012-03-30,71.5,76.1,88.5,85.9,74.7,11.024971655292353
2012-03-31,72.3,71.5,76.1,88.5,77.15714285714286,7.172135233633254
2012-04-01,80.8,72.3,71.5,76.1,77.95714285714287,7.229535979313622
2012-04-02,81.8,80.8,72.3,71.5,79.55714285714285,6.53601742726589
2012-04-03,75.7,81.8,80.8,72.3,78.10000000000001,6.001388728175034
2012-04-04,77.1,75.7,81.8,80.8,76.47142857142856,3.8810283369721374
2012-04-05,83.5,77.1,75.7,81.8,77.52857142857142,4.687115063559601
2012-04-06,77.8,83.5,77.1,75.7,78.42857142857143,3.870277460214871
2012-04-07,59.4,77.8,83.5,77.1,76.58571428571429,8.068752190070136
2012-04-08,71.3,59.4,77.8,83.5,75.22857142857143,8.040670429285155
2012-04-09,64.7,71.3,59.4,77.8,72.78571428571429,8.30470319987988
2012-04-10,59.1,64.7,71.3,59.4,70.41428571428571,9.602504633588845
2012-04-11,68.2,59.1,64.7,71.3,69.14285714285714,9.148197844904967
2012-04-12,74.7,68.2,59.1,64.7,67.88571428571429,7.255211591545445
2012-04-13,71.4,74.7,68.2,59.1,66.97142857142858,6.1105685184807355
2012-04-14,83.2,71.4,74.7,68.2,70.37142857142858,7.628393077993614
2012-04-15,74.1,83.2,71.4,74.7,70.77142857142857,7.757515557125717
2012-04-16,67.6,74.1,83.2,71.4,71.18571428571428,7.450599208884372
2012-04-17,70.4,67.6,74.1,83.2,72.8,5.313191131514066
2012-04-18,86.6,70.4,67.6,74.1,75.42857142857143,6.955744457093028
2012-04-19,80.7,86.6,70.4,67.6,76.28571428571429,7.215822561433629
2012-04-20,87.4,80.7,86.6,70.4,78.57142857142857,7.9109026635637525
2012-04-21,83.3,87.4,80.7,86.6,78.58571428571427,7.9207383013261055
2012-04-22,90.1,83.3,87.4,80.7,80.87142857142858,8.68249470404176
2012-04-23,88.7,90.1,83.3,87.4,83.88571428571427,6.756090726504534
2012-04-24,79.3,88.7,90.1,83.3,85.15714285714286,4.1173847455461035
2012-04-25,72.2,79.3,88.7,90.1,83.1,6.296824596572365
2012-04-26,82.1,72.2,79.3,88.7,83.3,6.229767250868905
